step,policy_arm_delta,command_arm_delta,observed_arm_delta,policy_gripper_delta,command_gripper_delta,observed_gripper_delta,command_arm_delta_change,command_gripper_delta_change,command_follow_error_arm,command_follow_error_gripper,target_period_sec,step_elapsed_sec,control_overrun
1,0.04342144355177879,0.004000000189989805,1.5139579772949219e-05,0.029361963272094727,0.019999980926513672,0.019999980926513672,0.004000000189989805,0.019999980926513672,0.004000331740826368,0.0,0.04,0.051760118920356035,True
2,0.05144977569580078,0.00800000037997961,0.0011980533599853516,0.011657416820526123,0.011657416820526123,0.011657416820526123,0.004000000189989805,0.013783037662506104,0.007244115695357323,0.0,0.04,0.05534466099925339,True
3,0.07861173152923584,0.012000000104308128,0.0023784637451171875,0.0022954344749450684,0.0022954344749450684,0.0022954344749450684,0.004000000189989805,0.013952851295471191,0.009621849283576012,0.0,0.04,0.05114501400385052,True
4,0.11067545413970947,0.014999998733401299,0.0024090430233627558,0.002785205841064453,0.002785205841064453,0.002785205841064453,0.004000000189989805,0.00366973876953125,0.012591242790222168,0.0,0.04,0.04396378993988037,True
5,0.13804197311401367,0.014999985694885254,0.003018021583557129,0.0013743042945861816,0.0013743042945861816,0.0013743042945861816,0.0040000006556510925,0.0027486085891723633,0.011982083320617676,0.0,0.04,0.042911684955470264,True
6,0.15181899070739746,0.014999999664723873,0.002698063850402832,0.0015127062797546387,0.0015127062797546387,0.0015127062797546387,0.0040000006556510925,0.0019388198852539062,0.013210967183113098,0.0,0.04,0.036190501996316016,False
7,0.14912092685699463,0.015000000596046448,0.002796855056658387,0.0,0.0,0.0,0.0040000006556510925,0.0015127062797546387,0.012471318244934082,0.0,0.04,0.03631254902575165,False
8,0.14659225940704346,0.015000000596046448,0.00349196745082736,0.0,0.0,0.0,0.003999999724328518,0.0,0.012081623077392578,0.0,0.04,0.04397090699058026,True
9,0.14367377758026123,0.015000000596046448,0.0026224851608276367,0.0,0.0,0.0,0.004000000189989805,0.0,0.012534129433333874,0.0,0.04,0.04370316897984594,True
10,0.1410512924194336,0.014999999664723873,0.0024356842041015625,0.0,0.0,0.0,0.004000000189989805,0.0,0.012629964388906956,0.0,0.04,0.03982647496741265,False
11,0.13866567611694336,0.014999999664723873,0.0025838613510131836,0.0,0.0,0.0,0.0040000006556510925,0.0,0.012778401374816895,0.0,0.04,0.035737114027142525,False
12,0.1364438533782959,0.014999999664723873,0.0030145645141601562,0.0,0.0,0.0,0.001999995671212673,0.0,0.012407977133989334,0.0,0.04,0.03988660697359592,False
13,0.13373947143554688,0.015000000596046448,0.0028348162304610014,0.0,0.0,0.0,0.0001747608184814453,0.0,0.012670787051320076,0.0,0.04,0.03955912997480482,False
14,0.13139164447784424,0.014999999664723873,0.0029242816381156445,0.0,0.0,0.0,0.0001233816146850586,0.0,0.012475967407226562,0.0,0.04,0.04335667903069407,True
15,0.128867506980896,0.015000000596046448,0.002694845199584961,0.0,0.0,0.0,0.0001392364501953125,0.0,0.012376666069030762,0.0,0.04,0.04368193098343909,True
16,0.1262441873550415,0.015000000596046448,0.0024027074687182903,0.0,0.0,0.0,0.002694845199584961,0.0,0.01265782117843628,0.0,0.04,0.03969730099197477,False
