step,policy_arm_delta,command_arm_delta,observed_arm_delta,policy_gripper_delta,command_gripper_delta,observed_gripper_delta,command_arm_delta_change,command_gripper_delta_change,command_follow_error_arm,command_follow_error_gripper,target_period_sec,step_elapsed_sec,control_overrun
1,0.20778942108154297,0.004000000189989805,7.278023258550093e-05,0.2750083804130554,0.019999980926513672,0.019999980926513672,0.004000000189989805,0.019999980926513672,0.004047682508826256,0.0,0.04,0.05612553699984346,True
2,0.2783900499343872,0.00800000037997961,0.0008939504623413086,0.2668190002441406,0.019999980926513672,0.019999980926513672,0.004000000189989805,0.019999980926513672,0.007735373452305794,0.0,0.04,0.0476876650000122,True
3,0.33210575580596924,0.012000000104308128,0.0023163557052612305,0.2611204981803894,0.019999980926513672,0.019999980926513672,0.004000000189989805,0.02064669132232666,0.009757518768310547,0.0,0.04,0.05257354300010775,True
4,0.4562099575996399,0.014999999664723873,0.0030590295791625977,0.3379504680633545,0.019999980926513672,0.019999980926513672,0.0040000006556510925,0.01353377103805542,0.01229846477508545,0.0,0.04,0.047464169999784644,True
5,0.6375126838684082,0.014999999664723873,0.0037270784378051758,0.4716547131538391,0.019999980926513672,0.019999980926513672,0.003999999724328518,0.032887041568756104,0.011520624160766602,0.0,0.04,0.05147166000006109,True
6,0.7653462886810303,0.015000000596046448,0.00411379337310791,0.5469738245010376,0.020000040531158447,0.020000040531158447,0.004000000189989805,0.04000002145767212,0.012140575796365738,0.0,0.04,0.054947764000189636,True
7,0.7624868750572205,0.015000000596046448,0.004672351758927107,0.5269738435745239,0.019999980926513672,0.019999980926513672,0.0040000006556510925,0.0004913806915283203,0.011380672454833984,0.0,0.04,0.06358559999989666,True
8,0.7578145265579224,0.015000000596046448,0.004137285053730011,0.5069738626480103,0.019999980926513672,0.019999980926513672,0.0029999976977705956,0.019508659839630127,0.011066794395446777,0.0,0.04,0.06388986700039823,True
9,0.753677248954773,0.015000000596046448,0.004747976083308458,0.4869738519191742,0.019999980926513672,0.019999980926513672,1.862645149230957e-09,0.0,0.010998519137501717,0.0,0.04,0.06789279600025111,True
10,0.7496757507324219,0.015000002458691597,0.004813181236386299,0.4669738709926605,0.019999980926513672,0.019999980926513672,0.0017544031143188477,0.0,0.010618805885314941,0.0,0.04,0.07132956399982504,True
11,0.7448625564575195,0.015000000596046448,0.00455164909362793,0.44697389006614685,0.019999980926513672,0.019999980926513672,0.003999948501586914,0.0,0.010843917727470398,0.0,0.04,0.06806511400009185,True
12,0.7407065033912659,0.015000000596046448,0.004316443577408791,0.4269739091396332,0.019999980926513672,0.019999980926513672,0.003999948501586914,0.0,0.010915877297520638,0.0,0.04,0.06371089000003849,True
13,0.16619789600372314,0.015000000596046448,0.0035128239542245865,0.05174905061721802,0.019999980926513672,0.019999980926513672,0.004000002518296242,0.019999980926513672,0.011644959449768066,0.0,0.04,0.05106194200016034,True
14,0.23951458930969238,0.015000000596046448,0.0034002065658569336,0.03261774778366089,0.019999980926513672,0.019999980926513672,0.003999998793005943,0.014468729496002197,0.012257024645805359,0.0,0.04,0.05131850799989479,True
15,0.2867259979248047,0.015000000596046448,0.0037178657948970795,0.03009486198425293,0.019999980926513672,0.019999980926513672,0.0040000006556510925,0.0011187195777893066,0.012424904853105545,0.0,0.04,0.051598517000002175,True
16,0.41336020827293396,0.015000004321336746,0.004164580255746841,0.1097341775894165,0.019999980926513672,0.019999980926513672,0.0040000006556510925,0.019307732582092285,0.012731213122606277,0.0,0.04,0.04895416999988811,True
17,0.5958237648010254,0.015000000596046448,0.0033189505338668823,0.24557456374168396,0.019999980926513672,0.019999980926513672,0.0040000006556510925,0.032657742500305176,0.012301400303840637,0.0,0.04,0.05099645999962377,True
