step,policy_arm_delta,command_arm_delta,observed_arm_delta,policy_gripper_delta,command_gripper_delta,observed_gripper_delta,command_arm_delta_change,command_gripper_delta_change,command_follow_error_arm,command_follow_error_gripper,target_period_sec,step_elapsed_sec,control_overrun
1,0.09524153172969818,0.004000000189989805,6.079673767089844e-06,0.035698533058166504,0.019999980926513672,0.019999980926513672,0.004000000189989805,0.019999980926513672,0.0039975643157958984,0.0,0.04,0.057081497000581294,True
2,0.07621452957391739,0.00800000037997961,0.0010366439819335938,0.006826519966125488,0.006826519966125488,0.006826519966125488,0.004000000189989805,0.013608753681182861,0.007101033814251423,0.0,0.04,0.055889277000460424,True
3,0.06928300857543945,0.012000000104308128,0.002428770065307617,0.007221221923828125,0.007221221923828125,0.007221221923828125,0.004000000189989805,0.001162707805633545,0.009571322239935398,0.0,0.04,0.05209496800034685,True
4,0.17201805114746094,0.014999999664723873,0.0032025917898863554,0.001735687255859375,0.001735687255859375,0.001735687255859375,0.004000000189989805,0.0089569091796875,0.011797666549682617,0.0,0.04,0.05415841600006388,True
5,0.24271535873413086,0.014999998733401299,0.003939509391784668,0.004201650619506836,0.004201650619506836,0.004201650619506836,0.0040000006556510925,0.002465963363647461,0.011060510762035847,0.0,0.04,0.055731106999701296,True
6,0.3164101839065552,0.014999997802078724,0.003946542739868164,0.0034067630767822266,0.0034067630767822266,0.0034067630767822266,0.004000000189989805,0.0076084136962890625,0.01105356402695179,0.0,0.04,0.05539744699945004,True
7,0.31536567211151123,0.014999998733401299,0.0031095482409000397,0.0,0.0,0.0,0.0040000006556510925,0.0034067630767822266,0.011890649795532227,0.0,0.04,0.05198330499933945,True
8,0.3133563995361328,0.014999999664723873,0.0036574602127075195,0.0,0.0,0.0,0.0030001401901245117,0.0,0.011480569839477539,0.0,0.04,0.05593712000063533,True
9,0.3098369836807251,0.014999999664723873,0.004201531410217285,0.0,0.0,0.0,0.00354158878326416,0.0,0.011198282241821289,0.0,0.04,0.05955100399933144,True
10,0.3056354522705078,0.014999999664723873,0.0037740468978881836,0.0,0.0,0.0,0.001278519630432129,0.0,0.011675119400024414,0.0,0.04,0.055897958999594266,True
11,0.30186140537261963,0.014999999664723873,0.003561258316040039,0.0,0.0,0.0,0.0008567571640014648,0.0,0.01154327392578125,0.0,0.04,0.055641463000029034,True
12,0.2984046936035156,0.015000000596046448,0.0039348602294921875,0.0,0.0,0.0,0.0006721019744873047,0.0,0.011208899319171906,0.0,0.04,0.05942549300016253,True
13,0.29446983337402344,0.015000000596046448,0.0032422803342342377,0.0,0.0,0.0,0.0005604028701782227,0.0,0.011855721473693848,0.0,0.04,0.05176858300001186,True
14,0.2912275791168213,0.015000000596046448,0.0035581588745117188,0.0,0.0,0.0,0.00038051605224609375,0.0,0.011474784463644028,0.0,0.04,0.055640498999309784,True
15,0.2877023220062256,0.015000000596046448,0.0033487118780612946,0.0,0.0,0.0,0.000324249267578125,0.0,0.011693403124809265,0.0,0.04,0.052124904000265815,True
16,0.2843536138534546,0.015000000596046448,0.0034520626068115234,0.0,0.0,0.0,0.00023818016052246094,0.0,0.011566996574401855,0.0,0.04,0.055714033999720414,True
17,0.28090155124664307,0.015000000596046448,0.0032862424850463867,0.0,0.0,0.0,0.00334993377327919,0.0,0.011722221970558167,0.0,0.04,0.052389823000339675,True
18,0.2776237726211548,0.015000000596046448,0.003450632095336914,0.0,0.0,0.0,0.003285694867372513,0.0,0.011563301086425781,0.0,0.04,0.0549103239991382,True
19,0.27417314052581787,0.015000000596046448,0.003191232681274414,0.0,0.0,0.0,0.0028030164539813995,0.0,0.011812567710876465,0.0,0.04,0.051312313999915204,True
20,0.27098190784454346,0.015000000596046448,0.004158496856689453,0.0,0.0,0.0,0.0012117177248001099,0.0,0.010843288153409958,0.0,0.04,0.06804935100080911,True
21,0.26682519912719727,0.015000000596046448,0.0038127899169921875,0.0,0.0,0.0,0.0011142715811729431,0.0,0.01119232177734375,0.0,0.04,0.06422071900033188,True
22,0.2630124092102051,0.01499999687075615,0.004141092300415039,0.0,0.0,0.0,0.0007844902575016022,0.0,0.010859489440917969,0.0,0.04,0.06773703799990471,True
23,0.2588719129562378,0.01499999314546585,0.004114031791687012,0.0,0.0,0.0,0.0006261691451072693,0.0,0.010886192321777344,0.0,0.04,0.06296930500047893,True
24,0.2547578811645508,0.01499999687075615,0.00424647331237793,0.0,0.0,0.0,0.0034720897674560547,0.0,0.010753661394119263,0.0,0.04,0.06824751499971171,True
25,0.25051140785217285,0.015000000596046448,0.004320785403251648,0.0,0.0,0.0,0.003999948501586914,0.0,0.010679364204406738,0.0,0.04,0.06751134499972977,True
26,0.17718923091888428,0.01100003719329834,0.0035799741744995117,0.0014354586601257324,0.0014354586601257324,0.0014354586601257324,0.0040000006556510925,0.0014354586601257324,0.007420137524604797,0.0,0.04,0.055848947999947995,True
27,0.1442699432373047,0.009029153734445572,0.0031708478927612305,0.0017249584197998047,0.0017249584197998047,0.0017249584197998047,0.004000004380941391,0.002264082431793213,0.007178373634815216,0.0,0.04,0.07134914400012349,True
28,0.10436518490314484,0.013029150664806366,0.0031847357749938965,0.003391444683074951,0.003391444683074951,0.003391444683074951,0.0040000006556510925,0.003361940383911133,0.00984441488981247,0.0,0.04,0.05929934499999945,True
29,0.028762537986040115,0.015000000596046448,0.003648698329925537,0.00224149227142334,0.00224149227142334,0.00224149227142334,0.0040000006556510925,0.0014300942420959473,0.01135130226612091,0.0,0.04,0.059914014999776555,True
30,0.04763948917388916,0.015000000596046448,0.004433400928974152,0.004123568534851074,0.004123568534851074,0.004123568534851074,0.0040000006556510925,0.006365060806274414,0.010566599667072296,0.0,0.04,0.06011297199984256,True
31,0.12588602304458618,0.015000000596046448,0.004004918038845062,0.0019605159759521484,0.0019605159759521484,0.0019605159759521484,0.0040000006556510925,0.006084084510803223,0.010995082557201385,0.0,0.04,0.05910440399929939,True
32,0.12579503655433655,0.015000000596046448,0.0034404098987579346,0.0,0.0,0.0,0.0040000006556510925,0.0019605159759521484,0.011559590697288513,0.0,0.04,0.054977682999378885,True
33,0.12304630875587463,0.015000000596046448,0.003487132489681244,0.0,0.0,0.0,0.0040000006556510925,0.0,0.012445047497749329,0.0,0.04,0.052240854000046966,True
34,0.12049135565757751,0.015000000596046448,0.0038410648703575134,0.0,0.0,0.0,0.003999948501586914,0.0,0.011159062385559082,0.0,0.04,0.055638810000345984,True
35,0.11665029078722,0.015000000596046448,0.0042765140533447266,0.0,0.0,0.0,0.0029989108443260193,0.0,0.01139986515045166,0.0,0.04,0.05537962000016705,True
36,0.11237386614084244,0.015000000596046448,0.003968000411987305,0.0,0.0,0.0,0.0030509233474731445,0.0,0.011780023574829102,0.0,0.04,0.05635454399998707,True
37,0.1091538593173027,0.015000000596046448,0.00401914119720459,0.0,0.0,0.0,0.0022881031036376953,0.0,0.011064648628234863,0.0,0.04,0.05919179800002894,True
38,0.10521845519542694,0.015000000596046448,0.003629326820373535,0.0,0.0,0.0,0.003999948501586914,0.0,0.01137077808380127,0.0,0.04,0.05512183999962872,True
39,0.10158919543027878,0.015000000596046448,0.0034674406051635742,0.0,0.0,0.0,0.0034220218658447266,0.0,0.01153266429901123,0.0,0.04,0.056853222000427195,True
40,0.09812180697917938,0.015000000596046448,0.003880143165588379,0.0,0.0,0.0,0.002596735954284668,0.0,0.011119939386844635,0.0,0.04,0.05876938199980941,True
41,0.09424174576997757,0.015000000596046448,0.003214322030544281,0.0,0.0,0.0,0.001127481460571289,0.0,0.011785745620727539,0.0,0.04,0.05238513200038142,True
42,0.09102742373943329,0.015000000596046448,0.00379025936126709,0.0,0.0,0.0,0.000758051872253418,0.0,0.011209912598133087,0.0,0.04,0.05897317200015095,True
43,0.08723733574151993,0.015000008046627045,0.0040174126625061035,0.0,0.0,0.0,0.0006951093673706055,0.0,0.010982632637023926,0.0,0.04,0.06364965099965048,True
44,0.08321992307901382,0.01499999314546585,0.004304558038711548,0.0,0.0,0.0,0.0005675554275512695,0.0,0.010695457458496094,0.0,0.04,0.07146473600005265,True
45,0.07891536504030228,0.01499999314546585,0.004465579986572266,0.0,0.0,0.0,0.00047588348388671875,0.0,0.010534420609474182,0.0,0.04,0.07117215999915061,True
46,0.07444979250431061,0.014999985694885254,0.004009127616882324,0.0,0.0,0.0,0.00034809112548828125,0.0,0.010991096496582031,0.0,0.04,0.063809121000304,True
47,0.07044072449207306,0.015000000596046448,0.004129648208618164,0.0,0.0,0.0,0.0002301931381225586,0.0,0.01087045669555664,0.0,0.04,0.06460945799972251,True
48,0.06631112098693848,0.015000000596046448,0.004630327224731445,0.0,0.0,0.0,0.00017440319061279297,0.0,0.01036977767944336,0.0,0.04,0.07157830400046805,True
49,0.0667039230465889,0.01100003719329834,0.004171267151832581,0.0007975101470947266,0.0007975101470947266,0.0007975101470947266,0.0040000006556510925,0.0007975101470947266,0.006828904151916504,0.0,0.04,0.0683150269996986,True
50,0.05211177468299866,0.010769367218017578,0.0027478933334350586,0.003858506679534912,0.003858506679534912,0.003858506679534912,0.0040000006556510925,0.0040242671966552734,0.00802147388458252,0.0,0.04,0.05901728699973319,True
51,0.1251298189163208,0.014769315719604492,0.0026948079466819763,0.005867063999176025,0.005867063999176025,0.005867063999176025,0.0040000006556510925,0.009725570678710938,0.012946009635925293,0.0,0.04,0.05481038099969737,True
52,0.18938851356506348,0.015000000596046448,0.004375338554382324,0.006501257419586182,0.006501257419586182,0.006501257419586182,0.003999993205070496,0.012368321418762207,0.01215142011642456,0.0,0.04,0.05875759700029448,True
53,0.24869415163993835,0.015000000596046448,0.004681065678596497,0.0017467737197875977,0.0017467737197875977,0.0017467737197875977,0.003999948501586914,0.00824803113937378,0.010831117630004883,0.0,0.04,0.056551880999904824,True
54,0.30315524339675903,0.015000000596046448,0.0040002986788749695,0.010075032711029053,0.010075032711029053,0.010075032711029053,0.0040000006556510925,0.01182180643081665,0.012007713317871094,0.0,0.04,0.05603422500007582,True
55,0.2994755506515503,0.015000000596046448,0.0038646459579467773,0.0,0.0,0.0,0.0040000006556510925,0.010075032711029053,0.011580094695091248,0.0,0.04,0.05540047400063486,True
